,area,top10,top10_scores
0,artificial intelligence,"['myeong lee', 'sadegh torabi', 'diana wang', '̦zlem uzuner', 'riki morikawa', 'hemant purohit', 'sanmay das', 'michael hieb', 'sharon adamus', 'katherine russell']","[0.2908402250838777, 0.17516394906194158, 0.16921981785876064, 0.15671403040361434, 0.14894209897070304, 0.14263790462525644, 0.14132540635463045, 0.1321726190614375, 0.1311578474677781, 0.12582183659700646]"
1,autonomous systems,"['janis terpenny', 'jim chen', 'amarda shehu', 'thomas latoza', 'george hazelrigg', 'ray hong', 'hadi el amine', 'giuseppe ateniese', 'jan allbeck', 'edward huang']","[0.15794679858946128, 0.14186342071370853, 0.12485479588541837, 0.12151843444055867, 0.11991874635868878, 0.11837712853934514, 0.11563207278133417, 0.11195695259248672, 0.11025050207784115, 0.10798294029550783]"
2,computer engineering,"['gheorghe tecuci', 'mihai boicu', 'janis terpenny', 'peter pachowicz', 'edward huang', 'binqian yin', 'george hazelrigg', 'aditya johri', 'jiayang sun', 'ali k raz']","[0.2383102303944741, 0.21215305220381353, 0.18055456179364698, 0.14527944405644863, 0.1308488243958065, 0.12209657262637609, 0.1191149826795339, 0.11676286987622918, 0.11509604144773075, 0.11406312631462474]"
3,computer networks communications,"['myeong lee', 'ali k raz', 'daniel barbara', 'duminda wijesekera', 'ray hong', '̦zlem uzuner', 'massimiliano albanese', 'bernd peter paris', 'jim chen', 'giuseppe ateniese']","[0.2680245533862051, 0.23733426053465734, 0.19755677105892144, 0.19556583517405218, 0.18802928503750235, 0.17664563907338965, 0.17256155555845745, 0.1723294766691701, 0.17226635405157717, 0.17133291116627136]"
4,cybersecurity,"['martin slawski', 'kuo tian', 'celso moller ferreira', 'siddhartha sikdar', 'lance sherry', 'vivian genaro motti', 'weiwen jiang', 'john shortle', 'lei yang', 'ziwei zhu']","[0.05397405462930527, 0.03193110314562001, 0.030077218603337275, 0.01323595249671058, 0.011963072544460844, 0.01014438805067058, 0.009763204461546894, 0.0069367916705087955, 0.006669001225715022, 0.006020492509677387]"
5,data analytics,"['myeong lee', 'yutao zhong', 'diana wang', 'angelos stavrou', 'hadi el amine', 'ziwei zhu', 'niloofar ramezani', 'girum urgessa', 'inchi hu', 'arthur art pyster']","[0.22025393960882894, 0.1688801323682996, 0.1482046307260317, 0.14798105409437606, 0.1397382359816659, 0.13795875616260195, 0.13480940693122373, 0.1342778519694503, 0.1324295304292306, 0.1264279082482028]"
6,electrical engineering,"['gheorghe tecuci', 'janis terpenny', 'mihai boicu', 'aditya johri', 'edward huang', 'george hazelrigg', 'karla hoffman', 'parth pathak', 'ariela sofer', 'jie xu']","[0.2145694639774432, 0.20102494958773545, 0.19886164460675826, 0.16937408695813305, 0.16185666293978065, 0.16127688825343284, 0.15839585377929966, 0.15013100004445729, 0.1485616095096049, 0.14517887293504794]"
7,human centered computing,"['shahnaz kamberi', 'rochelle jones', 'aditya johri', 'andrzej manitius', 'jim chen', 'george hazelrigg', 'ariela sofer', 'shvetha soundararajan', 'rajesh ganesan', 'tamara maddox']","[0.14280398136290093, 0.14125242469639895, 0.12522178663179417, 0.12447867983673666, 0.12348338356406803, 0.12283190651587442, 0.12208024549156714, 0.1181753737568402, 0.1139638222287521, 0.11327216746620858]"
8,software engineering,"['gheorghe tecuci', 'mihai boicu', 'shahnaz kamberi', 'janis terpenny', 'hamza mughal', 'binqian yin', 'john otten', 'jiayang sun', 'tamara maddox', 'edward huang']","[0.2101973667160289, 0.191865790474816, 0.1849005849183044, 0.18209403892093595, 0.18077538151554678, 0.1647705109143269, 0.16269784336399212, 0.14987328832216995, 0.14666320798326965, 0.14260465144663503]"
9,theory computation,"['gheorghe tecuci', 'ariela sofer', 'karla hoffman', 'mihai boicu', 'ali k raz', 'daniel barbara', 'elise miller hooks', 'edward huang', 'alexander levis', 'george hazelrigg']","[0.18615822985702254, 0.16426047873669947, 0.15745737026217235, 0.15515761919268167, 0.14387366834866228, 0.14003694244122147, 0.13855749985543714, 0.13634848977840383, 0.13218837842691317, 0.12903716833843087]"
10,visual computing,"['shahnaz kamberi', 'ariela sofer', 'aditya johri', 'george hazelrigg', 'andrzej manitius', 'jim chen', 'laura kosoglu', 'karla hoffman', 'shvetha soundararajan', 'craig lorie']","[0.25363074360726234, 0.23329377703730048, 0.21385780181719366, 0.1970280062442868, 0.19596047503338376, 0.1947056588688299, 0.18496594820594262, 0.1775752686062786, 0.17717857126416148, 0.1685319407387338]"
11,bioinformatics biostatistics computational biology,"['shahnaz kamberi', 'jiayang sun', 'michael holland', 'jonathan l auerbach', 'mehdi amiri darehbidi', 'pramita bagchi', 'jim chen', 'hamza mughal', 'aditya johri', 'yutao zhong']","[0.18768120087212187, 0.15904201883748276, 0.149270358506633, 0.1477543857063574, 0.14718635231658037, 0.1431332415340757, 0.14236102248261212, 0.1284457725980754, 0.1262143934635011, 0.12187873735452176]"
12,biomaterials nanomedicine,"['martin slawski', 'kuo tian', 'celso moller ferreira', 'siddhartha sikdar', 'lance sherry', 'vivian genaro motti', 'weiwen jiang', 'john shortle', 'lei yang', 'ziwei zhu']","[0.05397405462930527, 0.03193110314562001, 0.030077218603337275, 0.01323595249671058, 0.011963072544460844, 0.01014438805067058, 0.009763204461546894, 0.0069367916705087955, 0.006669001225715022, 0.006020492509677387]"
13,biomedical imaging devices,"['janis terpenny', 'vivian genaro motti', 'ray hong', 'george hazelrigg', 'robert pettit', 'parth pathak', 'edward huang', 'aditya johri', 'thomas latoza', 'weiwen jiang']","[0.2748302504916586, 0.21444766064316517, 0.211088430216626, 0.19916593043898875, 0.19510237808227904, 0.1900189646226456, 0.18835130723070936, 0.18440286731706745, 0.18328012224109413, 0.17923308782093472]"
14,communitybased healthcare,"['tolga soyata', 'elise miller hooks', 'olcay ciftci', 'niloofar ramezani', '̦zlem uzuner', 'lucas henneman', 'joy hughes', 'f berlin', 'kevin lybarger', 'daniel menasce']","[0.1094615094950282, 0.10694043322346039, 0.09962709627734359, 0.0974337715701691, 0.08883461992670184, 0.08481679090400909, 0.08440037441026918, 0.07412493166611013, 0.07259513591782776, 0.07180769284345741]"
15,computational biomedicine,"['shahnaz kamberi', 'hamza mughal', 'binqian yin', '̦zlem uzuner', 'john otten', 'grigory yaroslavtsev', 'shvetha soundararajan', 'yutao zhong', 'hadi rezazad', 'sharon adamus']","[0.21560728357662862, 0.19574007317156783, 0.14867525836251314, 0.1474449764294059, 0.14680505487867584, 0.13840913308956662, 0.1341204617858056, 0.13001274187308592, 0.1228733350941807, 0.12207160944508069]"
16,design results clinical studies,"['aditya johri', 'janis terpenny', 'michael eagle', 'thomas latoza', 'jim chen', 'karla hoffman', 'yotam gingold', 'gheorghe tecuci', 'mihai boicu', 'george hazelrigg']","[0.27032910538576066, 0.23251461175288024, 0.21056060827835393, 0.20647915254093457, 0.19462161636298464, 0.19381605387545925, 0.19079170009794127, 0.18852881046213427, 0.1884680044504056, 0.18696858791220783]"
17,experimental understanding disease mechanisms,"['lily wang', 'antonios anastasopoulos', 'carlotta domeniconi', 'alexander brodsky', 'amarda shehu', 'jim chen', 'yue wang', 'ray hong', 'nicholas rios', 'bo han']","[0.16014499885327863, 0.14777707525741726, 0.14648984787471872, 0.1394006186886211, 0.13727063517848503, 0.13581031734400356, 0.13177060843892868, 0.13165917494213575, 0.13154802475339136, 0.12796500032188146]"
18,neuroengineering,"['martin slawski', 'kuo tian', 'celso moller ferreira', 'siddhartha sikdar', 'lance sherry', 'vivian genaro motti', 'weiwen jiang', 'john shortle', 'lei yang', 'ziwei zhu']","[0.05397405462930527, 0.03193110314562001, 0.030077218603337275, 0.01323595249671058, 0.011963072544460844, 0.01014438805067058, 0.009763204461546894, 0.0069367916705087955, 0.006669001225715022, 0.006020492509677387]"
19,construction engineering management,"['gheorghe tecuci', 'mihai boicu', 'janis terpenny', 'karla hoffman', 'yotam gingold', 'edward huang', 'alexander brodsky', 'george hazelrigg', 'thomas latoza', 'jim chen']","[0.18457221909896437, 0.17247939698010864, 0.168184582950835, 0.1545236495731507, 0.1458351594319598, 0.1446556869009472, 0.14099158872060244, 0.13870134518106703, 0.13590629439411625, 0.13331182060178762]"
20,environmental water resources engineering,"['kirin emlet furst', 'janis terpenny', 'jim chen', 'karla hoffman', 'viviana maggioni', 'edward huang', 'aditya johri', 'george hazelrigg', 'gheorghe tecuci', 'vadim sokolov']","[0.2507513950729247, 0.19394986189037366, 0.1905896135547024, 0.17250512235013116, 0.1647311249784804, 0.15948910044140902, 0.1543931094568606, 0.15281637956197944, 0.15097396998230095, 0.1471501735770613]"
21,geotechnical engineering,"['gheorghe tecuci', 'mihai boicu', 'janis terpenny', 'george hazelrigg', 'edward huang', 'peter pachowicz', 'scott lewis', 'aditya johri', 'tokunbo fadahunsi', 'jiayang sun']","[0.21763649589257927, 0.19699178634796827, 0.18908878374887156, 0.13566332204500262, 0.13553271681822213, 0.13527990831890463, 0.13000541700523183, 0.12681280739435438, 0.12179544362728587, 0.11966422450849264]"
22,structural engineering,"['ahmed bin zaman', 'dana richards', 'amarda shehu', 'william rosenberger', 'irina hashmi', 'burak tanyu', 'janis terpenny', 'robert handler', 'evgenios kornaropoulos', 'hadi el amine']","[0.3581828950543877, 0.3094613649864095, 0.2980205283326615, 0.23859235191445136, 0.19537290928127504, 0.15280950141917102, 0.14854803523298252, 0.148138817593108, 0.14471658796719408, 0.14426014019863959]"
23,computational fluid dynamics,"['kenneth ball', 'robert handler', 'juan cebral', 'jim chen', 'jinwei ye', 'martin slawski', 'colin reagle', 'kevin lybarger', 'jeffrey moran', 'abolfazl safikhani']","[0.19832467893893402, 0.18476734908731607, 0.14912308544766517, 0.11700393687828678, 0.09439106860360146, 0.09419971805312982, 0.09273164063443104, 0.08835833019943135, 0.08642589181262335, 0.08534199148396758]"
24,multiscale transport engineering,"['gheorghe tecuci', 'janis terpenny', 'edward huang', 'mihai boicu', 'aditya johri', 'karla hoffman', 'kevin andrea', 'elise miller hooks', 'george hazelrigg', 'john stufken']","[0.1291178922858504, 0.1290890457148632, 0.12240251432728301, 0.11784887313805473, 0.11552233102104431, 0.10990151901626952, 0.10909948634743324, 0.10859309788987277, 0.10807392486329626, 0.106993447963356]"
25,multiscale tribology contact mechanics,"['janis terpenny', 'ali beheshti', 'bernd peter paris', 'lei yang', 'kai zeng', 'aditya johri', 'george hazelrigg', 'jim chen', 'jeffrey moran', 'mingkui wei']","[0.13115572120804928, 0.13081816580014557, 0.12812478490393447, 0.12098190151445809, 0.1207960527191885, 0.11961280007974794, 0.11760661561276856, 0.11370042824748312, 0.10930149337155262, 0.10818699028517727]"
26,nanomaterials photonics synthesis,"['jim chen', 'liza wilson durant', 'rajesh ganesan', 'qiliang li', 'sherif hashem', 'jeffrey moran', 'dimitrios ioannou', 'mihai boicu', 'gheorghe tecuci', 'alexander brodsky']","[0.10703827125999239, 0.09920420984377587, 0.09386529224732947, 0.08672811330215115, 0.08274659811134255, 0.07728782715684133, 0.07316333971515004, 0.07308972144767313, 0.0693313412495699, 0.0644105978100252]"
27,applied probability statistics,"['jonathan l auerbach', 'john shortle', 'daniel barbara', 'carlotta domeniconi', 'vadim sokolov', 'mohan venigalla', 'leonard adelman', 'duminda wijesekera', 'nicholas rios', 'pramita bagchi']","[0.24951913785064245, 0.21630351666978892, 0.20982593333536925, 0.2060755492956585, 0.18378201018662052, 0.18032969373265914, 0.1776513821331295, 0.1764751167448671, 0.17061583365423577, 0.17032953984523352]"
28,optimization techniques,"['ariela sofer', 'hakan aydin', 'marcos zampieri', 'carlotta domeniconi', 'hadi el amine', 'john shortle', 'huzefa rangwala', 'michael hieb', '̦zlem uzuner', 'qi wei']","[0.15016960856721137, 0.14168051262407128, 0.11581876115684143, 0.1040401558942859, 0.10174600969687603, 0.09825858450764091, 0.09675144830315593, 0.09517332761986937, 0.0949547897975984, 0.09282850947153186]"
29,simulation,"['shahnaz kamberi', 'hamza mughal', 'john otten', 'jan allbeck', 'tamara maddox', 'mahdi hashemi', 'jim chen', 'yutao zhong', 'joy hughes', 'rajesh ganesan']","[0.1591387093065592, 0.13701805122009747, 0.13212454939080825, 0.11921991891576053, 0.11343148142323309, 0.10630867901620548, 0.10601161375502623, 0.10401019349846875, 0.10359969699273433, 0.09763951545875525]"
30,statistical modeling,"['abolfazl safikhani', 'ben seiyon lee', 'alexander levis', 'vadim sokolov', 'tianshu feng', 'qi wei', 'edward huang', 'lily wang', 'kim blackwell', 'ran ji']","[0.3192429620458017, 0.3108520227735085, 0.26661380395023954, 0.2516289196587971, 0.24424358683786745, 0.24355872945203969, 0.2210635151721228, 0.21827547162818361, 0.21426011657562358, 0.2085527550651141]"
31,stochastic modeling,"['abolfazl safikhani', 'ben seiyon lee', 'alexander levis', 'tianshu feng', 'vadim sokolov', 'qi wei', 'lily wang', 'edward huang', 'kim blackwell', 'ran ji']","[0.3258514946996161, 0.3156901865520845, 0.27222136005626746, 0.2660510499483913, 0.25349283758219554, 0.24411479961060598, 0.23162879459837837, 0.21942357811594979, 0.2136822066185754, 0.21232746556403018]"
32,systems engineering,"['janis terpenny', 'gheorghe tecuci', 'george hazelrigg', 'thomas latoza', 'edward huang', 'jim chen', 'mihai boicu', 'aditya johri', 'ali k raz', 'ariela sofer']","[0.24591412336157817, 0.18377391174743932, 0.17988815910486952, 0.17262371555487308, 0.16970020029824653, 0.1623110594393031, 0.16171575718525974, 0.1611081828675255, 0.14940512967006855, 0.14923909006303984]"
33,civilian government ngos,"['jonathan l auerbach', 'nathan kathir', 'christine alonzo yee', 'riki morikawa', 'myeong lee', 'alexander levis', 'john mclaughlin', 'mohamed gebril', 'michael hieb', 'duoduo liao']","[0.11377003297938165, 0.11170415038771864, 0.09590644094819302, 0.0956986621154726, 0.09161119168179885, 0.08380531060716492, 0.0786560404759271, 0.07167788657203635, 0.07022586957720194, 0.06884283908215141]"
34,education,"['gheorghe tecuci', 'mihai boicu', 'aditya johri', 'bo liu', 'rochelle jones', 'sharon adamus', 'michael eagle', 'khondkar islam', 'elizabeth white', 'ioulia rytikova']","[0.25262092628354493, 0.22418234649571808, 0.18522092515767835, 0.18252551885142784, 0.17651577936724944, 0.16792347734331362, 0.15674473424594612, 0.1556013071388307, 0.15396429582801208, 0.15074721308665934]"
35,energy,"['ebrima ceesay', 'lucas henneman', 'liling huang', 'tolga soyata', 'deborah goodings', 'hakan aydin', 'ivan avramovic', 'george hazelrigg', 'zelalem eshete', 'jianli pan']","[0.14139019611747358, 0.13226509419433904, 0.0953837346447223, 0.09415836153938205, 0.08902273119669649, 0.08889667893394228, 0.07655149725437685, 0.07605335813512318, 0.07147416898918632, 0.06960567332297894]"
36,finance,"['sam salem', 'duminda wijesekera', 'michael hieb', 'elise miller hooks', 'aditya johri', 'mahdi hashemi', 'vadim sokolov', 'myeong lee', 'tolga soyata', 'george hazelrigg']","[0.11691477557691944, 0.1066891721382966, 0.09764051011873229, 0.0972150345586035, 0.09439097376181198, 0.09202582829804569, 0.08887750561637255, 0.08774627080386685, 0.08734369969470922, 0.08732033296194498]"
37,humanities,"['ningshi yao', 'rochelle jones', 'jan allbeck', 'gheorghe tecuci', 'scott lewis', 'lucas henneman', 'ray hong', 'aditya johri', 'mihai boicu', 'myeong lee']","[0.1743346514750834, 0.14746376548216011, 0.1358519850647478, 0.13094355285291423, 0.12112539577787731, 0.11852557194834483, 0.11128996168550931, 0.10903044033422347, 0.10121829517145232, 0.10016725753536616]"
38,manufacturing,"['janis terpenny', 'tamara maddox', 'viviana maggioni', 'jan allbeck', 'filipe veiga', 'martha bushong', 'colleen berg', 'sherif hashem', 'yotam gingold', 'duoduo liao']","[0.12277628564853024, 0.0997509336107633, 0.0766325030609269, 0.0739265219080253, 0.06900655593423542, 0.06853886606798876, 0.06711560552140244, 0.059900949251194685, 0.05927862608193528, 0.05620994273193428]"
39,national security,"['tokunbo fadahunsi', 'mohamed gebril', 'paul ammann', 'foteini baldimtsi', 'md tanvir arafin', 'xiaonan guo', 'andrzej manitius', 'qiliang li', 'joy hughes', 'massimiliano albanese']","[0.10892888686623559, 0.09198981524704207, 0.08503228361678258, 0.08495187328027212, 0.08313996847427227, 0.08014840871175394, 0.07831883807534978, 0.07829991787556295, 0.07438944198158969, 0.07301710948855686]"
40,sports,"['ali beheshti', 'zhisheng yan', 'myeong lee', 'jeffrey moran', 'hadi el amine', 'eugene kim', 'thomas latoza', 'william rosenberger', 'irina hashmi', 'aditya johri']","[0.05415572854122487, 0.04950961745370392, 0.04763295941643221, 0.045749279060939715, 0.0445679410547875, 0.04353430358134507, 0.04331775731647754, 0.04315190888169086, 0.042474998854284615, 0.04186215855230076]"
41,transportation,"['ebrima ceesay', 'sharon adamus', 'thanhvu nguyen', 'deborah goodings', 'lance sherry', 'elise miller hooks', 'charles white', 'mohan venigalla', 'gurdip singh', 'lucas henneman']","[0.14430340860155536, 0.12613124477737825, 0.1017174750611735, 0.09154527145509472, 0.09133444573238063, 0.08544152973981177, 0.08257228238447704, 0.08169448424545114, 0.07752753322022199, 0.07528176515074769]"
